Test (2C): unreliable agreement ...
003291 TIMR [	    func-ticker-rf(2)		] :选举超时了, 我的身份是:0,我的voteFor:-1
095035 TIMR [	    func-electionEvent-rf(0)		] : rf.Term: 29
095035 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
095047 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:1,阻塞时长>5ms
095060 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:2,阻塞时长>5ms
095075 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:3,阻塞时长>5ms
095077 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S1, 我的身份是:1,我的任期:29，lastterm:0,lastlogindex:0
095080 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:1
095087 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:4,阻塞时长>5ms
095089 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
095089 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
095112 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S0, 我的身份是:1,我的任期:29，lastterm:0,lastlogindex:0
095114 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:0,我的voteFor:0
095143 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S0, 我的身份是:0,我的任期:30，lastterm:0,lastlogindex:0
095155 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S1, 我的身份是:1,我的任期:29，lastterm:0,lastlogindex:0
095156 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:1
095214 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S1, 我的身份是:1,我的任期:30，lastterm:0,lastlogindex:0
095215 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S1, 我的身份是:0,我的任期:30，lastterm:0,lastlogindex:0
095216 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S0, 我的身份是:1,我的任期:30，lastterm:0,lastlogindex:0
095312 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S0, 我的身份是:0,我的任期:30，lastterm:0,lastlogindex:0
098405 TIMR [	    func-ticker-rf(1)		] :选举超时了, 我的身份是:1,我的voteFor:1
098406 TIMR [	    func-electionEvent-rf(1)		] : rf.Term: 30
098421 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:0,阻塞时长>5ms
098434 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:2,阻塞时长>5ms
098447 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:3,阻塞时长>5ms
098448 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S1, 我的身份是:0,我的任期:30，lastterm:0,lastlogindex:0
098449 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:1
098460 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:4,阻塞时长>5ms
098460 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S1, 我的身份是:0,我的任期:30，lastterm:0,lastlogindex:0
098461 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
098461 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
098462 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:0,我的voteFor:1
098494 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S1, 我的身份是:1,我的任期:30，lastterm:0,lastlogindex:0
098495 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:0,我的voteFor:1
098538 TIMR [	    func-ticker-rf(3)		] :选举超时了, 我的身份是:0,我的voteFor:1
098538 TIMR [	    func-electionEvent-rf(3)		] : rf.Term: 30
098551 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:0,阻塞时长>5ms
098564 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:1,阻塞时长>5ms
098565 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S1, 我的身份是:1,我的任期:31，lastterm:0,lastlogindex:0
098565 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S3, 我的身份是:1,我的任期:31，lastterm:0,lastlogindex:0
098576 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:2,阻塞时长>5ms
098589 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:4,阻塞时长>5ms
098590 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
098590 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
098668 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S3, 我的身份是:0,我的任期:31，lastterm:0,lastlogindex:0
098756 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S3, 我的身份是:0,我的任期:31，lastterm:0,lastlogindex:0
098789 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S3, 我的身份是:0,我的任期:31，lastterm:0,lastlogindex:0
--- FAIL: TestUnreliableAgree2C (10.02s)
    config.go:609: one(102) failed to reach agreement
    config.go:609: one(100) failed to reach agreement
    config.go:609: one(103) failed to reach agreement
    config.go:609: one(101) failed to reach agreement
    config.go:609: one(1) failed to reach agreement
FAIL
exit status 1
FAIL	6.824/raft	10.026s
